date,nifty_w1_pcr,nifty_w2_pcr,nifty_pcr_delta,nifty_w1_net_delta,nifty_w2_net_delta,nifty_delta_delta,nifty_w1_iv_skew,nifty_w2_iv_skew,nifty_w1_oi_call,nifty_w1_oi_put,nifty_w2_oi_call,nifty_w2_oi_put,nifty_w2_oi_change_call,nifty_w2_oi_change_put,nifty_spot_move_w1,nifty_spot_move_w2,nifty_w2_spot_close,nifty_w2_max_pain,nifty_spot_vs_maxpain,bnf_w1_pcr,bnf_w2_pcr,bnf_pcr_delta,bnf_w1_net_delta,bnf_w2_net_delta,bnf_delta_delta,bnf_w1_iv_skew,bnf_w2_iv_skew,bnf_w1_oi_call,bnf_w1_oi_put,bnf_w2_oi_call,bnf_w2_oi_put,bnf_w2_oi_change_call,bnf_w2_oi_change_put,bnf_spot_move_w1,bnf_spot_move_w2,bnf_w2_spot_close,bnf_w2_max_pain,bnf_spot_vs_maxpain,pcr_agreement,delta_agreement,days_to_expiry,is_expiry_eve,day_of_week,btst_signal_fired,btst_direction,btst_confidence,vix_regime,nifty_5day_momentum,prev_day_gap_pts,prev_5day_ml_accuracy
2023-01-02,0.8074091777071586,0.7950851592924506,-0.0123240184147079,480820.9951182329,2853698.333675567,2372877.338557334,0.7411989999999999,0.1607690000000001,63391650.0,51183000.0,63939000.0,50836950.0,612400.0,-284300.0,0.0846111250730636,0.2002103994761436,18193.0508,18200.0,-0.0003819700212126,0.7593776716384165,0.756529474385211,-0.0028481972532055,1093634.4249915765,2649034.332548151,1555399.9075565743,0.58108,-0.408099,28306600.0,21495400.0,25715125.0,19454250.0,-2499275.0,-2028525.0,-0.0467225526684944,0.2229469320432171,43199.4492,43100.0,0.0023020941665155,1,1,1,1,0,0,-1,0.0,0,0.0,0.0,0.5
2023-01-03,0.8344443077473689,0.8594075440424808,0.0249632362951118,6747347.705540771,5470588.041336764,-1276759.664204007,-1.094614,-2.221064,71528800.0,59686800.0,68416900.0,58798000.0,-2353650.0,-938400.0,0.3565724347598855,0.014253716192071,18240.6504,18200.0,0.0022285608850876,0.9572107007029268,0.9348325691079524,-0.0223781315949743,2860435.3163583926,2618106.2355756154,-242329.0807827772,-0.1710640000000012,-0.8988559999999985,26642175.0,25502175.0,24987175.0,23358825.0,-1510425.0,-2105300.0,0.3227598276198769,-0.0128863537234319,43432.6016,43300.0,0.0030530429933997,1,1,0,0,1,0,0,0.0,0,0.0,-19.8,1.0
2023-01-05,0.6834229836162394,0.6152420161255833,-0.0681809674906561,7232262.0050553745,5707510.381954455,-1524751.6231009196,-8.298371000000003,5.530671999999999,107008400.0,73132000.0,98204200.0,60419350.0,-7808000.0,-12947650.0,-0.6689190836266296,0.2446199645206666,17989.4492,18000.0,-0.0005864993353993,0.7894101776632556,0.7058487370188812,-0.0835614406443744,2506998.867002811,3333199.997485871,826201.1304830601,-9.148368999999995,-1.8820870000000005,57950925.0,45747050.0,48515175.0,34244375.0,-9954850.0,-11869100.0,-1.3422869231929342,0.3196862599636169,42615.1992,42600.0,0.0003566614795972,1,1,5,0,3,1,-1,0.8154,0,0.0,13.55,1.0
2023-01-10,0.6783185022776046,0.657677678273638,-0.0206408240039666,-5782997.907329596,1822018.4974500453,7605016.404779641,-0.5319110000000009,-0.2179389999999994,81686700.0,55409600.0,82302550.0,54128550.0,569450.0,-1202750.0,-1.1379155598305803,0.3561356795878733,17921.8496,17950.0,-0.0015707307352918,0.7111202243623664,0.6530082690037646,-0.0581119553586018,-1871356.1858729704,1107551.9647285345,2978908.1506015053,-1.1582760000000007,-4.585676999999997,30236800.0,21502000.0,33123700.0,21630050.0,1232600.0,735825.0,-1.4913760046636213,0.4776009879043569,42043.8984,42100.0,-0.0013343577102736,1,1,0,0,1,0,0,0.0,0,-0.0177883871986068,-42.65,1.0
2023-01-11,0.6775374081694396,0.6834365582135828,0.0058991500441432,4031243.255659674,1914934.24058768,-2116309.015071994,-0.3558899999999987,-0.0113109999999991,99490300.0,67408400.0,93339900.0,63791900.0,-5895000.0,-3579950.0,0.1554072334954491,-0.1392614690452969,17891.8496,17900.0,-0.0004555370284354,0.8037887178650961,0.8699757316891819,0.0661870138240857,2267062.1264475,1200415.5988665172,-1066646.5275809823,-0.052941999999998,-1.3572759999999988,36182425.0,29083025.0,32109775.0,27934725.0,-3875275.0,-1107075.0,0.6027401535936752,0.0284114792490652,42248.4492,42200.0,0.001146768719738,1,1,6,0,2,0,0,0.0,0,-0.0089985106961775,-32.85,1.0
2023-01-17,0.8632542524307082,0.9571477931920528,0.0938935407613444,5790355.795189658,8696965.020746993,2906609.2255573347,0.302385000000001,1.1745419999999989,71635500.0,61839650.0,61645600.0,59003950.0,-9896500.0,-3107800.0,0.551995252253515,0.3408756067403186,18059.0,18000.0,0.0032670690514424,0.6191446769012289,0.6321853310411942,0.0130406541399653,1919978.6803166247,4229882.221252293,2309903.540935668,-0.708399,-0.8995909999999974,35067450.0,21711825.0,31906150.0,20170600.0,-3193225.0,-1665250.0,-0.0501100675603514,0.3922641004058679,42254.5,42100.0,0.0036564152930457,1,1,0,0,1,0,0,0.0,0,0.0075945733429314,4.0,1.0
2023-01-30,0.8245907916777969,0.6867149042456521,-0.1378758874321448,-448546.7605953545,2290744.066407701,2739290.827003056,-3.968563,-0.0462679999999977,37997150.0,31332100.0,41157400.0,28263400.0,3113350.0,-3120650.0,0.5511984881962662,0.5570092860092446,17656.0,17700.0,-0.0024920706841866,0.984859114280386,0.7555261976852232,-0.2293329165951628,205359.01458087665,555717.9373473286,350358.922766452,-5.791842000000003,-6.299464999999998,11260900.0,11090400.0,11865075.0,8964375.0,3146075.0,-1598425.0,0.7006957525708803,1.2752531536447325,40462.3516,40500.0,-0.0009304550652957,1,1,1,1,0,1,-1,0.494,0,-0.0211457634798369,-149.65,1.0
2023-02-01,1.0064278861528622,0.5947399551804861,-0.4116879309723761,-7498696.42440039,2553981.3085546265,10052677.732955016,-5.376633999999999,2.105477999999998,54722500.0,55074250.0,60018500.0,35695400.0,18615100.0,-14167000.0,-1.6357242915687324,0.790164823867031,17634.5996,17700.0,-0.0037086410513113,1.5400812599480609,0.8929803584878827,-0.647100901460178,-2276770.583592625,-221437.04057415263,2055333.543018472,-1.7735649999999978,-0.8742459999999994,11937000.0,18383950.0,14238975.0,12715125.0,4746250.0,-5921525.0,-1.7224288410181343,0.3770892298534196,40514.8516,40800.0,-0.0070381203124041,1,0,6,0,2,0,-1,0.0,0,-0.0277635790494499,102.3,1.0
2023-02-07,0.6010239727492681,0.7246231917339946,0.1235992189847264,6830371.254315195,1057558.8150999874,-5772812.439215208,0.1666019999999992,-2.109655,72453100.0,43546050.0,64664850.0,46857650.0,-6921100.0,3243200.0,-0.0813313561193173,-0.1906606215702163,17720.0,17700.0,0.0011286681715575,0.7099676951550908,0.7657847863034482,0.0558170911483573,2886110.4722003965,1225997.9377417867,-1660112.5344586098,0.7874119999999998,-0.6016900000000014,24462275.0,17367425.0,20828600.0,15950225.0,-3741525.0,225575.0,0.2050772257137464,-0.1114800810640183,41486.5,41500.0,-0.0003254070601279,1,1,0,0,1,0,0,0.0,0,0.0019751693002257,6.55,1.0
2023-02-09,0.9025492531005396,0.8425450397008927,-0.0600042133996467,8142714.505738408,4345570.577281547,-3797143.9284568615,-4.186152,14.235913,87545250.0,79013900.0,74595300.0,62849900.0,-12955250.0,-15545300.0,0.4002569395592353,-0.023745934193211,17893.5508,17900.0,-0.0003604203588255,0.8397621076873664,0.8628027632844335,0.0230406555970671,3803484.225333173,-3219511.976119943,-7022996.201453116,-6.273441999999996,14.571055,53473775.0,44905250.0,42529100.0,36694225.0,-11118200.0,-8229450.0,0.1861251274133094,0.0497325848924923,41547.5508,41500.0,0.0011444910490366,1,0,5,0,3,0,-1,0.0,1,0.0157990553780974,-44.75,1.0
